Word,Frequency
candy,2
negative,2
reversed,2
disease,2
phenomenal,2
modeling,2
leaf,2
protect,2
office,2
merry,2
handful,2
epitome,2
owns,2
untouchable,2
riding,2
punish,2
esta,2
plenum,2
mejor,2
vi,2
puntos,2
sus,2
caused,2
failure,2
poo,2
fix,2
consistently,2
rd,2
suddenly,2
deadly,2
instinct,2
recording,2
figure,2
combined,2
hat,2
bang,2
esa,2
equivalent,2
ran,2
caitlyns,2
bus,2
encouraged,2
mom,2
whoever,2
directly,2
foolish,2
puede,2
aggressive,2
ruin,2
process,2
lmfao,2
addict,2
joker,2
offer,2
boo,2
jester,2
ect,2
shove,2
ticket,2
convince,2
passing,2
movement,2
awkward,2
stubborn,2
cardoso,2
kamilla,2
discussion,2
transgender,2
egg,2
thuggery,2
slur,2
protest,2
brady,2
tom,2
charles,2
sir,2
stephen,2
wwe,2
finding,2
bust,2
squad,2
verse,2
sin,2
raise,2
flash,2
clue,2
wide,2
amen,2
conduct,2
brake,2
follows,2
enter,2
podcast,2
hanging,2
fry,2
referee,2
catching,2
contender,2
greyhound,2
dribbling,2
heterophobic,2
join,2
highlighting,2
train,2
enjoyed,2
eminem,2
regular,2
admirable,2
determination,2
began,2
list,2
haughty,2
destruction,2
smile,2
attack,2
served,2
car,2
taken,2
plum,2
awful,2
hahahaha,2
invisible,2
brick,2
besides,2
dwarf,2
lit,2
fantastic,2
ugh,2
thousand,2
read,2
retired,2
teaching,2
h,2
benched,2
padded,2
hahahahaha,2
grateful,2
humbled,2
decent,2
speed,2
discipline,2
clip,2
greatly,2
limited,2
screaming,2
internet,2
possibly,2
skin,2
regardless,2
result,2
block,2
severely,2
realizing,2
mile,2
uncoordinated,2
quickly,2
danza,2
starring,2
genuine,2
comparable,2
settle,2
bliss,1
reeseclassless,1
reeseisnothingbuttrash,1
bi,1
girrrrrrrrrrl,1
caitlynclark,1
queenofcourt,1
skillzsmacktalker,1
whiteknighting,1
gee,1
starter,1
wholesome,1
burgerking,1
vicinity,1
sucker,1
boost,1
increased,1
admiration,1
toker,1
tik,1
eliminated,1
argument,1
perfomance,1
usc,1
finale,1
frog,1
clatlin,1
dawkins,1
darryl,1
solely,1
centered,1
winshe,1
hulkey,1
whose,1
scathing,1
joined,1
efficiency,1
rebounding,1
reases,1
famine,1
accountabilitypetty,1
spell,1
bac,1
dwbasketball,1
edge,1
wath,1
reson,1
passenger,1
contract,1
buck,1
gona,1
competed,1
haterz,1
superhuman,1
superteam,1
growth,1
pocket,1
friggin,1
series,1
niemand,1
noch,1
junkie,1
entweder,1
mit,1
wird,1
monster,1
gawdwhy,1
hercomments,1
rack,1
practiced,1
trained,1
confront,1
fuel,1
slowly,1
unbelievable,1
convert,1
liargood,1
breeding,1
parenting,1
limit,1
zone,1
catelyn,1
larryirdesque,1
sprechen,1
nicht,1
gar,1
andere,1
über,1
würde,1
ohne,1
sein,1
barbi,1
wrongk,1
creepy,1
dawn,1
mum,1
ultimately,1
viral,1
european,1
fluffing,1
eyeball,1
shameless,1
stoop,1
reading,1
bomb,1
bambi,1
stable,1
thesis,1
sprt,1
soccer,1
hockey,1
filed,1
softball,1
disqualified,1
yup,1
leagueor,1
package,1
fully,1
knowledge,1
techniquestyle,1
habitstells,1
studied,1
gradedoes,1
baseball,1
elementaryno,1
graduate,1
sidelined,1
scrub,1
mega,1
wlnba,1
aarrogance,1
stooping,1
